date,tab,block,payee,desc,amount,candidate_vendor,candidate_date,candidate_total,candidate_status,link,docId
2026-01-20,RECAST BIZ,Tools,Amazon,Space Heaters,169.98,Amazon,2026-01-20,276.22,posted,https://mail.google.com/mail/u/0/#all/19c01b85d135afa6,gm-19c01b85d135afa6
2026-04-09,104 Ashburne,Lighting & Electrical,Home Depot,Outlets & Testet,168.53,The Home Depot,2026-04-09,40.01,posted,https://drive.google.com/file/d/1VynliTBCglRE2pcQ_tceYqI8HUFy36Mu/view?usp=drivesdk,gm-19d724c5c326c549
2026-06-16,1616 Granite RECONCILED,,TXU,Electricity,161.17,TXU Energy,2026-06-17,0.00,dismissed,https://mail.google.com/mail/u/0/#all/19ed79b1f9970494,gm-19ed79b1f9970494
2026-06-30,136 Bowling Green,,Lupe,Carpet Laying,160.00,"Handwritten payment log - 136 Bowling Green (payees: unnamed carpet installer; ""FALCON"")",2026-06-30,475.00,pending,https://mail.google.com/mail/u/0/#all/19f3f6d3919a5816,gm-19f3f6d3919a5816
2026-03-17,104 Ashburne,Kitchen,Amazon,Under Cabinet Lights,154.53,Amazon,2026-03-17,596.71,pending,https://mail.google.com/mail/u/0/#all/19cfbe563f75f960,gm-19cfbe563f75f960
2026-08-13,366 Mesa,,Lowe's,1x3x8 For Pergola,148.09,"Lowe's Home Centers, LLC",2026-08-13,542.40,pending,https://mail.google.com/mail/u/0/#all/19ffbab89c6e794c,gm-19ffbab89c6e794c
2026-02-04,104 Ashburne,House Hardware,Lowes,Door Knobs,140.68,Lowe's Home Improvement,2026-02-04,134.23,posted,https://mail.google.com/mail/u/0/#all/19c28c64aa9a29ea,gm-19c28c64aa9a29ea
2026-06-04,104 Ashburne,Utilities,Energy Texas,Electricity,139.21,Uber,2026-06-03,94.98,pending,https://mail.google.com/mail/u/0/#all/19e8d1415d216814,gm-19e8d1415d216814
2026-03-07,104 Ashburne,Master Bath,Floor & Decor,Tile for bathtub plaform,136.40,Floor &amp; Decor,2026-03-07,0.00,pending,https://mail.google.com/mail/u/0/#all/19cc9f61226563fe,gm-19cc9f61226563fe
2026-05-05,104 Ashburne,Utilities,City of Ovilla,Water,131.53,Uber,2026-05-03,63.24,posted,https://mail.google.com/mail/u/0/#all/19dedd5146ee87ad,gm-19dedd5146ee87ad
2026-06-28,136 Bowling Green,,Lowes,Garage Floor Paint,129.84,"Lowe's Home Centers, LLC",2026-06-28,187.64,posted,https://drive.google.com/file/d/18AHF8I-xkG6ZKOyBKz5NUN--vR47mqfv/view?usp=drivesdk,gm-19f0fbce663c9387
2026-02-16,RECAST BIZ,Tools,Harbor Freight,Roto Hammer Drill,124.48,Harbor Freight Tools,2026-02-16,250.77,pending,https://mail.google.com/mail/u/0/#all/19c678226649aa40,gm-19c678226649aa40
2026-04-03,104 Ashburne,House Hardware,Home Depot,Front Door Lock Set,113.64,The Home Depot,2026-04-09,111.24,dismissed,https://drive.google.com/file/d/1oVwucDJ4e1Y9iN6uDeSYUKUG_4c3gHI9/view?usp=drivesdk,gm-19d7301fafc82a83
2026-05-27,1616 Granite RECONCILED,,Amazon,Exterior Light,111.42,"Anthropic, PBC",2026-06-03,20.00,pending,https://mail.google.com/mail/u/0/#all/19e8ed8492f559bc,gm-19e8ed8492f559bc
2026-07-19,881 Newport,,Effren - 1372,Landscaping,110.00,Falcon Creek Lawn Care,2026-07-19,470.00,posted,https://drive.google.com/file/d/1-1m_RG1m8TfjPZ4u4e45iEVZK_BG9pNO/view?usp=drivesdk,gm-19fb337be62617b6
